,price,volume,rsi,macd,adx,obv
2023-05-08,171.79,112249449.0,49.40562192050598,-5.41509769846175,21.88858051493619,3195541547.0
2023-05-05,170.06,107607259.0,47.813562459941,-6.3675125168389854,23.513104475810678,3083292098.0
2023-05-04,161.2,95108492.0,38.629878234940875,-7.314376339322791,24.73628361152956,2975684839.0
2023-05-03,160.61,119727972.0,37.95472616536472,-7.514418871448356,24.427191756679047,2880576347.0
2023-05-02,160.31,128259744.0,37.63076001904591,-7.600372519776641,24.127683806358124,2760848375.0
2023-05-01,161.83,109015048.0,38.57846579273229,-7.568984303355279,23.805136782935588,2889108119.0
2023-04-28,164.31,122515812.0,40.10882684956452,-7.573590844528695,22.996844732387196,2998123167.0
2023-04-27,160.19,127015177.0,36.204943507014136,-7.721818235705939,22.12637637025816,2875607355.0
2023-04-26,153.75,152247096.0,29.538573573833148,-7.37920202247102,20.261780090722535,2748592178.0
2023-04-25,160.67,121999312.0,32.97690574128444,-6.17885620816071,18.313162973545786,2900839274.0
2023-04-24,162.55,140006559.0,33.974558018278856,-5.2614860057767885,16.66637084024757,3022838586.0
2023-04-21,165.08,123538954.0,35.30942480273032,-4.205475514650033,14.892902389003334,3162845145.0
2023-04-20,162.99,210970819.0,33.299144598273884,-3.0540515712170304,13.20135203471719,3039306191.0
2023-04-19,180.59,125732687.0,43.98800962799217,-1.32719335147209,11.379682422409038,3250277010.0
2023-04-18,184.31,92067016.0,46.94560708498273,-0.8957896840670969,11.088197894677862,3376009697.0
2023-04-17,187.04,116177121.0,49.199865459026896,-0.7108956986292299,11.587406793217879,3468076713.0
2023-04-14,185.0,96438664.0,47.448917511576056,-0.7425270743266594,12.125016376260975,3351899592.0
2023-04-13,185.9,112932985.0,48.12849393478629,-0.5643907273175159,12.173895933286044,3448338256.0
2023-04-12,180.54,150256278.0,43.666641140600404,-0.42045101564667675,12.22653545623612,3335405271.0
2023-04-11,186.79,115770892.0,48.15124908631388,0.31512950384077953,12.283224173259274,3485661549.0
2023-04-10,184.51,142154637.0,46.2824570219233,0.6130503922943547,12.957002024260671,3369890657.0
2023-04-06,185.06,123857932.0,46.659163239396015,1.2165341387599256,13.137784816186159,3512045294.0
2023-04-05,185.52,133882493.0,46.955979538154835,1.9131038058667116,13.743361133490547,3635903226.0
2023-04-04,192.58,126463845.0,51.637396479188766,2.7275166710704184,14.728472343648644,3769785719.0
2023-04-03,194.77,169545900.0,53.16411776081332,3.0084943038057474,14.934273616417233,3896249564.0
2023-03-31,207.46,170222118.0,63.2217226711164,3.100382201532568,14.895667083932983,4065795464.0
2023-03-30,195.28,110252238.0,55.76303821099546,1.8804953771543467,14.138655702886913,3895573346.0
2023-03-29,193.88,123660026.0,54.78432388659537,1.5362689885530472,14.397672344970308,3785321108.0
2023-03-28,189.19,98654635.0,51.44247077643016,1.2171106672684004,14.91527848594802,3661661082.0
2023-03-27,191.81,120851587.0,53.4933588561942,1.269572436577505,15.819325919379432,3760315717.0
2023-03-24,190.41,116531584.0,52.554815494710304,1.0513025866909231,16.200029466360363,3639464130.0
2023-03-23,192.22,144193876.0,53.85969100674812,0.8999646679383773,17.184998335468244,3755995714.0
2023-03-22,191.15,150376373.0,53.2221362813085,0.5094211473787027,18.056641493471258,3611801838.0
2023-03-21,197.58,153391444.0,57.66864590180466,0.1124812917207123,18.71004415142404,3762178211.0
2023-03-20,183.25,129684359.0,48.81997701519404,-1.050485306471444,19.68569994181642,3608786767.0
2023-03-17,180.13,133197140.0,46.56161897649899,-1.0605192509789276,20.309386054797077,3479102408.0
2023-03-16,184.13,121374453.0,49.14314168900831,-0.7402277510451825,21.082852571034696,3612299548.0
2023-03-15,180.45,145995583.0,46.61457919308889,-0.7279251056599776,22.066889523897295,3490925095.0
