,price,volume,rsi,macd,adx,obv
2001-06-11,27.5756168845221,3012500.0,59.73186644456948,0.7247783275479165,26.15897581988101,110331900.0
2001-06-08,28.0055108364558,2421400.0,63.569792676002365,0.7284460180576389,25.261545438317334,113344400.0
2001-06-07,28.4284710149712,5978100.0,67.53409807448334,0.6787607258486901,23.509970452494535,115765800.0
2001-06-06,27.3884050022284,3377300.0,62.143549835124055,0.5624063059680822,21.623658929300753,109787700.0
2001-06-05,27.5617493376855,3655200.0,63.78252060686587,0.5116129305311077,20.23204187081845,113165000.0
2001-06-04,26.6880938869815,3682000.0,58.68272628372953,0.4216908654645586,18.73337734629904,109509800.0
2001-06-01,26.8891733161118,6726600.0,60.50350748574332,0.38973793571726745,17.750310382339,113191800.0
2001-05-31,26.9793123705495,14358600.0,61.29515951538544,0.32281192080884225,16.69162288268972,119918400.0
2001-05-30,25.8560410767873,6675900.0,54.389491982610224,0.2235167482984899,15.791488343190496,105559800.0
2001-05-29,25.5024186324547,3001700.0,51.87969109440638,0.20789828895672358,15.926659803981483,98883900.0
2001-05-25,26.0709880527541,3664000.0,56.523360879579016,0.22094467461681688,15.626418421683784,101885600.0
2001-05-24,26.2096635211198,4340800.0,57.692908312272394,0.17649216152532787,14.70061204521875,105549600.0
2001-05-23,25.5509550463827,3513500.0,53.44403133847327,0.10306774750550218,13.870833585562568,101208800.0
2001-05-22,26.2720674818844,4740200.0,59.520520936791904,0.07492082743879891,12.857215780154618,104722300.0
2001-05-21,25.6757629679118,5857700.0,55.64845513292307,-0.03551699236925643,11.370798204892422,99982100.0
2001-05-18,24.8090412906261,3500300.0,49.07374807930121,-0.11524455743077056,10.654694744535094,94124400.0
2001-05-17,25.169597508377,4841200.0,52.05456369689295,-0.12708161249575056,9.852738837194307,97624700.0
2001-05-16,25.0655909071027,3377200.0,51.26158686129961,-0.1770527178588388,10.363991361686939,92783500.0
2001-05-15,24.6495645020055,2574100.0,48.071564149339096,-0.2276689443145834,11.092715167672404,89406300.0
2001-05-14,25.0378558134295,3786900.0,50.96240651798767,-0.2466030547363509,11.323292470079641,91980400.0
2001-05-11,24.6079618614958,5808800.0,47.730938680901666,-0.30671802658713787,11.731399132300961,88193500.0
2001-05-10,24.9199816653187,8143400.0,49.94932112459581,-0.3352142169839958,12.119223957188508,94002300.0
2001-05-09,24.1364652690524,5220300.0,43.86595383779103,-0.39847916414182194,12.1226269750687,85858900.0
2001-05-08,24.1087301753793,6955200.0,43.64079146556991,-0.3936559666886339,12.03352216175253,80638600.0
2001-05-07,24.0879288551244,3045400.0,43.482911935263054,-0.3789499710680104,11.937563132027423,73683400.0
2001-05-04,24.8714452513907,4599900.0,48.206102465374,-0.3525498208343869,12.25629431639527,76728800.0
2001-05-03,24.5455579007313,3386400.0,45.93810349537674,-0.3935018465802642,12.599543284176027,72128900.0
2001-05-02,24.9893193995015,3877400.0,48.63070614095124,-0.40686660233305716,13.544410070698259,75515300.0
2001-05-01,24.9061141184821,4024800.0,48.10107420569991,-0.46318981988019914,14.31464457638574,71637900.0
2001-04-30,24.2196705500718,4457200.0,43.65034585378421,-0.5198696097383149,15.330680206851627,67613100.0
2001-04-27,24.490087713385,5103100.0,45.064013493126026,-0.5147594565956197,16.36151459507499,72070300.0
2001-04-26,24.1156639487976,2985100.0,42.677125400376326,-0.5282830165712582,17.471643936238614,66967200.0
2001-04-25,24.247405643745,3808600.0,43.29167175216088,-0.4997367332138616,18.038670009283365,69952300.0
2001-04-24,23.7689752778833,16655300.0,40.397426677168674,-0.4694460970946821,18.214649764662497,66143700.0
2001-04-23,25.1279948678673,3089900.0,46.68173935026946,-0.3752430137843632,18.3400585114508,82799000.0
2001-04-20,25.3429418438341,3014500.0,47.77320327325593,-0.38792044732069897,19.19439471712631,85888900.0
2001-04-19,25.6410941008204,8050700.0,49.25657023709559,-0.4203444935353957,20.57234680559719,88903400.0
2001-04-18,26.5979548325438,7148500.0,54.279103907600074,-0.485972586054789,21.6467146661225,96954100.0
