,price,volume,rsi,macd,adx,obv
2023-05-08,365.67,1261695.0,55.980182034574746,3.6906125696160643,23.798613278956175,28027384.0
2023-05-05,366.37,1113588.0,57.029894786062535,3.9628620549324864,25.580283863102697,29289079.0
2023-05-04,360.8,1545832.0,50.11882435191919,4.181437040846561,27.326536974733553,28175491.0
2023-05-03,363.5,1418886.0,54.03029549297013,4.96672457500091,28.692143279817127,29721323.0
2023-05-02,370.04,1124556.0,65.53392017182091,5.621884670230656,30.327249276301952,31140209.0
2023-05-01,372.31,1018099.0,70.36229268219988,5.710443414756753,30.983330513502516,32264765.0
2023-04-28,369.45,1878866.0,67.56664817008173,5.50928830810102,30.81961697299507,31246666.0
2023-04-27,365.64,1898616.0,63.282274164727774,5.463606142033427,31.191108707957053,29367800.0
2023-04-26,365.0,2051828.0,62.509800633465495,5.713755724368525,32.1258509319675,27469184.0
2023-04-25,367.06,1735860.0,66.70413606624365,6.015092017103598,32.324360416235,29521012.0
2023-04-24,368.01,1237661.0,68.6774721087248,6.102469001400266,31.538566170413468,31256872.0
2023-04-21,366.21,1677837.0,66.95765041552008,6.028503348609547,30.25119665804814,30019211.0
2023-04-20,367.35,1095481.0,69.19188857819168,6.029681684885929,29.133467415949035,31697048.0
2023-04-19,365.31,1163187.0,67.38343169729124,5.827408482316741,27.929759001380763,30601567.0
2023-04-18,364.87,1084980.0,66.9954106882171,5.692181107658371,26.909154382571693,29438380.0
2023-04-17,362.35,1421302.0,64.76626288202289,5.481586442437504,25.747807385537705,28353400.0
2023-04-14,359.67,1078282.0,62.24829197350653,5.389640721483772,24.973435888333402,26932098.0
2023-04-13,361.96,1667550.0,65.9901482961281,5.466762499881327,24.13949735288261,28010380.0
2023-04-12,359.35,1613716.0,63.67951146612446,5.252517751583127,23.241409699320222,26342830.0
2023-04-11,358.25,975055.0,62.687424662176944,5.16840874191405,22.437514847222534,24729114.0
2023-04-10,358.56,1311530.0,63.13873804749541,5.09787820605402,21.825416226767373,25704169.0
2023-04-06,356.58,1627689.0,61.49460016383293,4.902141002741018,21.443238829578803,24392639.0
2023-04-05,355.61,2199781.0,60.69713052670324,4.782605285018008,21.233914194114824,22764950.0
2023-04-04,357.8,2299186.0,63.45216250589599,4.659232710251274,20.735455013525776,24964731.0
2023-04-03,358.1,1878474.0,63.82064096307876,4.211011966308945,19.49156266074248,27263917.0
2023-03-31,355.44,1513468.0,62.00395541405951,3.5471227699853785,18.410470977718386,25385443.0
2023-03-30,351.54,1120710.0,59.21585409498192,2.919000591841666,17.61978319145937,23871975.0
2023-03-29,349.73,1132624.0,57.88403193919761,2.471921003129694,17.24118554379506,22751265.0
2023-03-28,347.37,1396658.0,56.15034869212867,2.0496205680372555,16.833465000156572,21618641.0
2023-03-27,347.1,1475948.0,55.95774723531464,1.7210898953476885,16.992784130030326,20221983.0
2023-03-24,344.75,1793849.0,54.33676012921005,1.3042221655462072,17.076473629999327,18746035.0
2023-03-23,341.33,2082145.0,51.94671166228993,0.9924495771006718,17.74597810701557,16952186.0
2023-03-22,339.15,1434214.0,50.41041106881525,0.9282969339996612,18.214981513168976,14870041.0
2023-03-21,341.3,1792643.0,51.930874592698906,1.0548759686744233,18.903742315063877,16304255.0
2023-03-20,338.81,2305149.0,50.31941786927757,0.9821841042967776,19.700806302135128,14511612.0
2023-03-17,330.49,5702339.0,44.55205648015826,1.1286438104285708,21.10655343629292,12206463.0
2023-03-16,338.29,1750154.0,49.56062804878194,2.14629028901237,22.51386901510648,17908802.0
2023-03-15,330.93,3395328.0,44.049385602093345,2.6197766629283024,24.02943963844416,16158648.0
2023-03-14,342.44,2580095.0,52.356797553248434,3.9353934287202037,24.80829164052947,19553976.0
2023-03-13,334.83,2228912.0,46.118107943025734,4.385429469004123,25.921918327094325,16973881.0
2023-03-10,340.244382559022,1534105.0,50.48568178838658,5.670887404508335,27.882327552512717,19202793.0
2023-03-09,344.607767215602,2489124.0,54.33647420858905,6.6778309466586165,29.06695539746112,20736898.0
2023-03-08,353.553701968135,2222842.0,63.567116890881216,7.421653088927201,29.632584215427418,23226022.0
2023-03-07,352.79658499576,2218111.0,63.0741433192617,7.352230494416801,29.024422900295463,21003180.0
2023-03-06,356.69175257732,3846387.0,67.43309088896866,7.233768758328381,28.357084355989596,23221291.0
