,price,volume,rsi,macd,adx,obv
2023-02-06,143.712638119023,4296963.0,31.312473194964724,-3.274928985613201,34.38004410564604,1528312622.0
2023-02-03,143.891015410855,6552966.0,31.653013055042777,-3.3003922562390073,33.8216463010683,1532609585.0
2023-02-02,143.534260827191,6160758.0,30.244124345083847,-3.303048994915372,33.22029481921535,1526056619.0
2023-02-01,145.278394347323,5439922.0,33.36656583752385,-3.2220715074722364,31.981519426962986,1532217377.0
2023-01-31,146.418027045136,5628869.0,35.59633042112213,-3.249432796349595,31.103899589628206,1537657299.0
2023-01-30,144.336958640434,4573369.0,27.365851151399553,-3.353126602710745,30.158770534036904,1532028430.0
2023-01-27,144.961279161844,4591481.0,28.376040726308418,-3.2248142546753513,29.357682541952823,1536601799.0
2023-01-26,146.071182311019,4577825.0,30.21742380283594,-3.077701830749362,28.690672055560096,1541193280.0
2023-01-25,146.457666443321,5744293.0,30.86504516596993,-2.9581746309526125,28.264006862121704,1545771105.0
2023-01-24,146.358567947859,5171361.0,30.510449073550788,-2.801937576596174,27.40382167859074,1540026812.0
2023-01-23,147.210815008832,7616363.0,31.813500286824166,-2.551676797474613,26.477468404018936,1545198173.0
2023-01-20,148.241439361637,7059012.0,33.416075933770585,-2.2819119867316147,25.85760850118249,1552814536.0
2023-01-19,147.369372601572,7170148.0,30.672103417921704,-2.009338842589102,24.830373892062873,1545755524.0
2023-01-18,147.854955229335,6190824.0,31.339888231829747,-1.543417394421141,23.76251887823515,1552925672.0
2023-01-17,151.452230614607,8507159.0,36.860393183679754,-0.975723633303744,22.983489828234333,1559116496.0
2023-01-13,152.215289029664,6019501.0,38.18527361044919,-0.6032156554936137,23.024684386814247,1567623655.0
2023-01-12,150.847729792289,7665110.0,34.252493304257385,-0.19667919290546365,22.477788263003983,1561604154.0
2023-01-11,154.253335663331,7492023.0,40.16096931512854,0.46431234813661604,21.98271363654847,1569269264.0
2023-01-10,156.67749892024,5936187.0,45.329230164420686,0.9544716831331073,22.35890631523942,1576761287.0
2023-01-09,158.66001300079,7832955.0,50.238872504848736,1.3193861146159804,23.887689345456803,1582697474.0
2023-01-06,163.459267383901,5099112.0,66.40692393895719,1.5641025754764541,24.792718722926253,1590530429.0
2023-01-05,160.456052984654,3516002.0,58.68001405854624,1.3650478290510364,23.941984635618642,1585431317.0
2023-01-04,160.65234150748,4440480.0,59.51077402192781,1.396908177659725,24.414133425842206,1588947319.0
2023-01-03,159.366651682966,4937722.0,55.69584536954428,1.3972691631574605,25.019902598979666,1584506839.0
2022-12-30,158.610940870083,3680370.0,53.29394564646943,1.5083125971337097,26.274339682817008,1579569117.0
2022-12-29,159.54331135351,3112642.0,56.823211635799794,1.705050406944082,27.7112414261509,1583249487.0
2022-12-28,159.219435290846,2944692.0,55.88080186969048,1.8364263926884803,27.752567485934264,1580136845.0
2022-12-27,159.965331677587,2669310.0,58.6168708532999,2.0103747387980206,27.797072473393275,1583081537.0
2022-12-23,160.073290365142,2685137.0,59.00515420753044,2.127208454072587,28.191566744624787,1585750847.0
2022-12-22,160.240135609544,3606176.0,59.571440167546385,2.234397388594573,28.264803071941113,1588435984.0
2022-12-21,159.199806438563,3707199.0,57.19276416969426,2.3217212417567055,28.49919901310679,1584829808.0
2022-12-20,157.600054977526,4221227.0,53.26657040875811,2.5053321664124724,28.988843098846655,1581122609.0
