,price,volume,rsi,macd,adx,obv
2013-06-17,29.2283284565718,49670100.0,57.50621342701673,0.45571124321601886,44.50450685535983,1083552026.0
2013-06-14,28.7272713973163,53192600.0,52.032625537843714,0.4807076948997988,45.69644247328007,1033881926.0
2013-06-13,28.9903263534254,45654900.0,55.51890481268382,0.55663686370184,47.645254935126694,1087074526.0
2013-06-12,29.2283284565718,37372700.0,58.8305109320633,0.6186697801514889,48.91868995603456,1132729426.0
2013-06-11,29.0947132407703,39435900.0,57.50926875034338,0.6646145643882981,49.60869431704706,1095356726.0
2013-06-10,29.6208231529886,35994500.0,65.15443272231413,0.7271941536683251,50.45433319622026,1134792626.0
2013-06-07,29.7878421727404,40757300.0,67.81184719964574,0.7429235415974276,50.109158402728944,1170787126.0
2013-06-06,29.1949246526214,37618500.0,62.81193231555986,0.7351882268471606,49.73743170204599,1130029826.0
2013-06-05,29.0446075348448,46025100.0,61.400440452230406,0.7749912893147943,49.93880064819074,1092411326.0
2013-06-04,29.2199775055842,65529500.0,64.03339524566132,0.8298268859207028,50.38299788218756,1138436426.0
2013-06-03,29.7210345648397,51252600.0,72.25351549699599,0.8698909865908426,49.89129545731386,1203965926.0
2013-05-31,29.1448189466959,56165700.0,67.84569471043429,0.8573576692443012,49.451236916835306,1152713326.0
2013-05-30,29.2533813095346,51131000.0,69.7851903553641,0.8875591683076252,49.272218721485444,1208879026.0
2013-05-29,29.1281170447207,38412200.0,68.8305067151245,0.9021436895385762,49.105104373480394,1157748026.0
2013-05-28,29.245030358547,48212100.0,70.76840564351538,0.9203909317520278,49.1187167335705,1196160226.0
2013-05-24,28.6178739393788,33174400.0,66.00021585129281,0.9183896426712153,49.133376198282924,1147948126.0
2013-05-23,28.5184976226265,51102700.0,65.16413166015927,0.9663328015754331,49.98175560658982,1114773726.0
2013-05-22,28.9026413680557,66047500.0,71.47285000982365,1.023588272259591,50.89539496938186,1165876426.0
2013-05-21,29.1030641917579,48702400.0,74.9901165591983,1.0426656986198957,50.784884422906956,1231923926.0
2013-05-20,29.2951360644725,54020800.0,78.42449230535752,1.0314426978719844,49.71761449270561,1280626326.0
2013-05-17,29.1197660937331,60666700.0,77.552905410056,0.9825588560901188,48.67284335025319,1226605526.0
2013-05-16,28.4600409657133,59382900.0,73.86484663086868,0.9237293844206924,47.68162370635387,1165938826.0
2013-05-15,28.2637936175049,46303900.0,72.6223657867713,0.9023775352967043,47.09935269657243,1106555926.0
2013-05-14,28.0007386613958,56870100.0,70.90046254914274,0.8819808682644421,46.664569775246,1060252026.0
2013-05-13,27.3952724521891,36027600.0,66.381365910028,0.8699022688814395,46.498546570721636,1003381926.0
2013-05-10,27.1132744917366,36394900.0,63.960829003277446,0.9034799285135406,46.737763232092675,967354326.0
2013-05-09,27.0883923187555,46417800.0,63.746966992744845,0.9619082256389362,47.34857088397066,930959426.0
2013-05-08,27.3620962215476,51595700.0,67.8601866691989,1.025026044664127,47.34780993568613,977377226.0
2013-05-07,27.6275060666793,43078300.0,72.04603837648472,1.062809830195068,47.2008564174241,1028972926.0
