,price,volume,rsi,macd
2023-05-08,108.24,17244270.0,58.33007724848739,1.0379315578166768
2023-05-05,106.215,20710627.0,53.174853427712705,0.9465774953305157
2023-05-04,105.21,19780637.0,50.343754394762556,1.0223899101887923
2023-05-03,106.12,17116333.0,53.0400695188842,1.2066102664597338
2023-05-02,105.98,20343116.0,52.67800156765355,1.3315371900424822
2023-05-01,107.71,20926259.0,57.79074909337834,1.4858761042874846
2023-04-28,108.22,23957872.0,59.3680599891468,1.4851104842251033
2023-04-27,108.37,38235220.0,59.81391909216032,1.410604394847681
2023-04-26,104.45,36630202.0,50.85806124749797,1.279716922299059
2023-04-25,104.61,31408119.0,51.29129716228725,1.4931701202853844
2023-04-24,106.78,21410908.0,57.45509309634892,1.7276042730564996
2023-04-21,105.91,22379018.0,55.46256426827536,1.7807532568035356
2023-04-20,105.9,22515331.0,55.44029041002049,1.9112706395962675
2023-04-19,105.02,16732016.0,53.54169880170231,2.0510761625121035
2023-04-18,105.12,17641369.0,53.783506969756814,2.28928501303362
2023-04-17,106.42,28978949.0,56.88473143327129,2.5498456184187575
2023-04-14,109.46,20758686.0,65.0265269564054,2.712963400296985
2023-04-13,108.19,21650747.0,62.97055525378756,2.572172446980858
2023-04-12,105.22,22761569.0,57.55171190953515,2.4843676673376507
2023-04-11,106.12,18721278.0,60.02332699249296,2.638560582522672
2023-04-10,106.95,19741517.0,62.315073627669065,2.70535138579487
2023-04-06,108.9,34684150.0,67.9772296933575,2.6667410818143793
2023-04-05,104.95,21864200.0,61.37601965467548,2.3801258780892454
2023-04-04,105.12,20377231.0,61.88584700839156,2.3818624598351334
2023-04-03,104.91,20719861.0,61.51919484392061,2.3321246065750074
2023-03-31,104.0,28107953.0,59.96968476840121,2.2561010250455524
2023-03-30,101.32,25009829.0,55.01614514039766,2.218905820620037
2023-03-29,101.9,26148300.0,56.41915831974754,2.412028947762437
2023-03-28,101.36,24913480.0,55.43666325322871,2.5643856817112862
2023-03-27,103.06,25393417.0,59.34786620347583,2.776529939490189
2023-03-24,106.06,25245010.0,67.10610113856548,2.8338263566626694
2023-03-23,106.26,31385817.0,67.6535867395971,2.560283582120462
2023-03-22,104.22,32336877.0,64.94477419570924,2.153539406873932
2023-03-21,105.84,33122800.0,69.21921864563053,1.8107708136410992
2023-03-20,101.93,26033916.0,63.89321663537448,1.1819895064436992
2023-03-17,102.46,76140310.0,65.31572177859988,0.7603524269816404
2023-03-16,101.07,54588200.0,63.32735947370753,0.1571668829848818
2023-03-15,96.55,38367334.0,55.650351466130985,-0.47347600237803533
2023-03-14,94.25,32303881.0,50.782042697877955,-0.8113005432975626
2023-03-13,91.66,31508570.0,44.40016162923292,-0.9965049494414302
2023-03-10,91.01,32850092.0,42.66774207722866,-0.9546894103822723
2023-03-09,92.66,24438890.0,46.049902192527284,-0.8212493672866685
2023-03-08,94.65,25395200.0,50.53612557333545,-0.8069859033022908
2023-03-07,94.17,24101536.0,49.43274576462657,-0.9796607415869261
2023-03-06,95.58,28288206.0,52.63538403679218,-1.1369342880289537
2023-03-03,94.02,30242538.0,49.25799090244793,-1.4646989340254635
2023-03-02,92.31,23344562.0,45.28694024450501,-1.7029047340570003
2023-03-01,90.51,26323876.0,40.75503379963908,-1.808063340874611
2023-02-28,90.3,30546912.0,40.21859752390059,-1.7327121322545196
2023-02-27,90.1,22724262.0,39.7360385718855,-1.5899516858739275
2023-02-24,89.35,31295619.0,37.99314624745094,-1.364247237062699
2023-02-23,91.07,32423720.0,40.486632857405226,-0.9799590534954632
2023-02-22,91.8,29891135.0,41.56162179960381,-0.6503409129642392
2023-02-21,92.05,28367198.0,41.9155375108137,-0.2944960730431063
2023-02-17,94.59,31095067.0,45.577069003906125,0.1385203746095982
2023-02-16,95.78,35642106.0,47.37755151840457,0.43057379871017076
2023-02-15,97.1,37029885.0,49.38709922130527,0.6759136411263995
2023-02-14,94.95,42513079.0,45.91764512024059,0.8448250233939945
2023-02-13,95.0,43116559.0,45.985717313550815,1.2670380964207197
2023-02-10,94.86,49325275.0,45.776715861881,1.7824149554996325
2023-02-09,95.46,97798573.0,46.49263401138083,2.428551747189445
2023-02-08,100.0,73546029.0,52.23216918728767,3.156841954078047
2023-02-07,108.04,33738828.0,65.53643434010915,3.578232844265642
2023-02-06,103.47,25573046.0,60.183507653520586,3.2454156481884837
2023-02-03,105.22,36823421.0,63.70169738698432,3.2387229266763455
2023-02-02,108.8,46622627.0,71.65914272185637,3.0048900650128445
2023-02-01,101.43,26392568.0,62.768505040637336,2.298217720634895
2023-01-31,99.87,22306778.0,60.32202392859296,2.1132182160559694
2023-01-30,97.95,24365142.0,57.100386046360555,2.0051902197962193
2023-01-27,100.71,29020354.0,64.04118995963793,2.0336317195549327
2023-01-26,99.16,24542060.0,61.60756099017626,1.759335136053437
2023-01-25,96.73,31000850.0,57.41161254415123,1.5414608038598487
2023-01-24,99.21,27391372.0,64.04491530477691,1.4883708627129693
2023-01-23,101.21,31791782.0,70.1110213782432,1.1464506707369537
2023-01-20,99.28,53704763.0,67.33899388395815,0.4897241614041121
2023-01-19,93.91,28707653.0,57.046603094746516,-0.1591118437647765
2023-01-18,91.78,19641622.0,51.406522315369365,-0.4381845362710237
2023-01-17,92.16,22935823.0,52.54960211758109,-0.571136452360534
2023-01-13,92.8,18630709.0,54.44286532191318,-0.7712149132258901
2023-01-12,91.91,22754216.0,52.22000050234152,-1.0805337499925685
2023-01-11,92.26,25998844.0,53.167316222281194,-1.3690020289203204
