,price,volume,rsi,macd,adx,obv
2003-09-23,23.8847460764102,5301800.0,43.14968112182437,0.05394790165364327,26.801140418423845,-121383500.0
2003-09-22,23.9686994896841,6375600.0,44.258296282268134,0.10677786496516362,26.117055975193285,-116081700.0
2003-09-19,24.3884665560533,6803100.0,50.25273064580737,0.16410699256812578,25.38034965171422,-109706100.0
2003-09-18,24.7569287587552,5403200.0,56.4888779359017,0.19215287605914,26.301612920284565,-102903000.0
2003-09-17,24.817561779453,4355600.0,57.580734211229256,0.1876385194244392,28.155176516802545,-97499800.0
2003-09-16,25.0880783333354,4597900.0,62.592926718199706,0.17297372729346705,30.25026551579688,-93144200.0
2003-09-15,24.7615928372705,3817600.0,58.549333847061696,0.12419663472672937,32.50651520702155,-97742100.0
2003-09-12,24.9528200563942,4300300.0,62.20655278872677,0.09337499058122489,34.55533813860365,-93924500.0
2003-09-11,24.8595384860899,4903400.0,61.10609860299572,0.03320677533445604,36.76176283415361,-98224800.0
2003-09-10,25.0461016266985,8375000.0,64.59934216961628,-0.034574994427117645,38.63271662140959,-93321400.0
2003-09-09,24.621670481814,7544500.0,59.73697908334174,-0.1395817913203743,40.64758993076219,-101696400.0
2003-09-08,24.533052990025,8614300.0,58.63546064580954,-0.228363560365775,43.703243925396,-109240900.0
2003-09-05,23.7868004275908,5987900.0,47.37819701614851,-0.32933685826897374,46.518746517429015,-117855200.0
2003-09-04,23.6002372869822,5634800.0,43.82950577220215,-0.377443070570024,47.60779737856246,-123843100.0
2003-09-03,23.6375499151039,6985900.0,44.385394525462374,-0.4143584898367436,47.77957445242692,-118208300.0
2003-09-02,23.6468104635525,7605600.0,44.51550997067736,-0.45924805998466667,47.96456514735788,-111222400.0
2003-08-29,23.2995398967293,5133500.0,38.207843778197294,-0.5108063953975517,48.16378589574507,-118828000.0
2003-08-28,23.0402445401679,6741200.0,32.92061297700988,-0.53382521095131,46.820170180758154,-123961500.0
2003-08-27,23.2902793482806,5210800.0,35.652113232320886,-0.5290398779762029,45.373199410772244,-117220300.0
2003-08-26,23.2902793482806,6653400.0,35.652113232320886,-0.5406950170343379,44.040806932315455,-122431100.0
2003-08-25,23.2856490740563,5697400.0,35.56674815149903,-0.5477065579116775,42.60592272474661,-129084500.0
2003-08-22,23.2763885256077,8858200.0,35.4076106155111,-0.5482177467771976,41.16442427760933,-134781900.0
2003-08-21,23.7625673191603,8560300.0,40.2543544392528,-0.5399532411340253,39.612041334538404,-125923700.0
2003-08-20,24.1329892571051,10221900.0,44.57072968999081,-0.5710527021310625,38.30660995377015,-117363400.0
2003-08-19,23.5713487798488,5827900.0,34.714786995061615,-0.6401563903633871,36.90076077448126,-127585300.0
2003-08-18,23.4704290065919,4995400.0,32.718666367290425,-0.6618612472539915,36.28787517397351,-133413200.0
2003-08-15,23.4660411903633,3535600.0,32.63551096713249,-0.669661996811783,35.99219764661364,-138408600.0
2003-08-14,23.4046117631634,6587300.0,31.53548032118701,-0.6694312922777392,35.33372962901647,-141944200.0
2003-08-13,23.4397142929919,7542700.0,31.81111248196075,-0.6531450143789819,34.34886633220378,-135356900.0
2003-08-12,23.9267618943626,5861000.0,35.847968892348405,-0.6264315861434113,33.58429347722527,-127814200.0
2003-08-11,24.1505405220194,5908500.0,37.89991122512976,-0.632814106809299,33.336854328599834,-121953200.0
2003-08-08,24.3918704145904,4567200.0,40.204441741623626,-0.6545406882670513,33.31758801178771,-116044700.0
2003-08-07,24.5278927176759,8022200.0,41.525976045228646,-0.6973228858328291,33.92404086078965,-111477500.0
2003-08-06,23.7907395912771,5718300.0,29.936649142298535,-0.7556351923370208,34.57714392894559,-119499700.0
2003-08-05,23.479204639049,7265300.0,24.02763157307163,-0.7440162515168574,33.46080192448996,-125218000.0
2003-08-04,23.75124924522,6493500.0,25.791427845608652,-0.6866442809847406,32.365413419970466,-117952700.0
2003-08-01,23.7907395912771,7243900.0,26.04917721010557,-0.6311283180468408,30.51527347758966,-111459200.0
2003-07-31,24.2558481115049,6922600.0,29.245576921279053,-0.555110548687594,28.630551914286713,-104215300.0
2003-07-30,24.3348288036191,6414500.0,29.82260182756569,-0.49736640078407746,27.37397086514457,-97292700.0
