,price,volume,rsi,macd
2008-12-15,2.87978272426131,31848500.0,48.849747621946534,-0.00877977865413726
2008-12-12,2.98676779222331,37184800.0,52.491506955325775,-0.007496394254002503
2008-12-11,2.88738109556543,37164900.0,49.22632070545155,-0.016642315713903066
2008-12-10,2.98494418311032,33501700.0,52.516382889449474,-0.01795439448899039
2008-12-09,3.04117213076081,42982000.0,54.464440465669924,-0.02930162548301407
2008-12-08,3.03083834578721,42326500.0,54.17434686313924,-0.049083640432774356
2008-12-05,2.85698761034895,37278400.0,49.10962560946892,-0.07256657391049792
2008-12-04,2.77826848363827,38977500.0,46.62953874138315,-0.08378265668419793
2008-12-03,2.91473523226026,47810000.0,50.599034779415206,-0.08886476169849944
2008-12-02,2.81048557796774,41025800.0,47.424183587821744,-0.10795359360628698
2008-12-01,2.70289264030141,32991700.0,43.97349362502349,-0.12013314016998722
2008-11-28,2.81656427501103,10634800.0,46.999700865163284,-0.12297636209188445
2008-11-26,2.88738109556543,32137000.0,48.948404852827665,-0.1363904392485673
2008-11-25,2.75972845765622,44117600.0,45.14120448270504,-0.15873825852320245
2008-11-24,2.82507445087165,51509200.0,46.800213465874876,-0.17195592277718852
2008-11-21,2.50989400917677,56045400.0,36.318147275187286,-0.19297870194836042
2008-11-20,2.44637162507433,61314800.0,33.88004217853552,-0.18491335036229284
2008-11-19,2.6226538393299,41853600.0,37.5884564938842,-0.16546164649673933
2008-11-18,2.73267825581355,43203400.0,40.13445140443498,-0.15617621870168374
2008-11-17,2.67888178698039,41518800.0,38.235012139185436,-0.15325546826775982
2008-11-14,2.74270810593499,50188100.0,39.619928273486245,-0.14182089953064425
2008-11-13,2.93114771427716,66217400.0,43.98793756792176,-0.13166206209747555
2008-11-12,2.73906088770902,42106300.0,37.46180457997713,-0.13596718517437933
2008-11-11,2.88039059396564,43733500.0,40.70175757674546,-0.11992645177579009
2008-11-10,2.91412736255593,40136500.0,41.49728478827358,-0.11209819194007142
2008-11-07,2.98585598766682,39116200.0,43.162828813769835,-0.10391098303254598
2008-11-06,3.01199438495299,47109800.0,43.7571028553636,-0.09925297301230396
2008-11-05,3.1396470228622,44873400.0,46.67111382202023,-0.09452534288451675
2008-11-04,3.37337292417692,49952900.0,52.6300505681424,-0.10011361312112266
2008-11-03,3.25088717875451,37783500.0,49.49188545918453,-0.12958762634794496
2008-10-31,3.27003507444089,59277000.0,49.97245291373697,-0.15285099822211023
2008-10-30,3.37489259843774,58503200.0,52.568042506866,-0.18226983681906406
2008-10-29,3.1776388793828,69677800.0,47.83517879926997,-0.2278441774451232
2008-10-28,3.03661310797834,58361900.0,44.134464879969116,-0.26261549641395243
2008-10-27,2.79893605358548,43170400.0,37.15752174810815,-0.2888174941342374
2008-10-24,2.92932410516417,56787800.0,39.68205583868177,-0.29385994395344817
2008-10-23,2.98555205281465,59836800.0,40.79183743889469,-0.3092974914259292
2008-10-22,2.94421691292024,80314600.0,39.6395026798861,-0.33022757044902296
2008-10-21,2.78069996245559,78345000.0,34.99196636264152,-0.34792998331544567
2008-10-20,2.99193468471011,55327500.0,38.55272836398814,-0.3488149010239643
2008-10-17,2.96032546008498,62936700.0,37.67142454744949,-0.3663782418774937
2008-10-16,3.09679220870696,70732900.0,39.96958868936988,-0.38024791963231275
2008-10-15,2.97704187695404,56577700.0,36.82944979856825,-0.4063145893589586
2008-10-14,3.16335394133105,70749800.0,39.840229200948315,-0.42148234727726797
2008-10-13,3.35118567996889,54967000.0,43.14183843569012,-0.45368122525099075
2008-10-10,2.94208936895509,79260700.0,31.693648300956866,-0.507304388704199
2008-10-09,2.69711787811028,57763700.0,23.082200570472665,-0.5267146291001006
2008-10-08,2.72903103758758,78847900.0,23.439667692801024,-0.5188852986233963
2008-10-07,2.7098831419012,67099000.0,22.77333249399851,-0.5045941432544785
2008-10-06,2.98281663914517,75264900.0,25.738299766476572,-0.4770642771209266
2008-10-03,2.95029560996354,81942800.0,24.65291802284308,-0.4627766327626395
2008-10-02,3.04238787016947,57477300.0,25.638244319232882,-0.4344978745157482
2008-10-01,3.3165371068221,46303000.0,28.822621030041958,-0.40146059321772753
2008-09-30,3.45452352970491,58095800.0,30.598880154081712,-0.38136695873698967
2008-09-29,3.1992182538865,93644900.0,22.38058011660958,-0.36422254529346976
2008-09-26,3.89766054416116,40230400.0,32.009591531963665,-0.31104753793796114
2008-09-25,4.00981250460997,35930200.0,34.20379185910494,-0.3097666884621617
2008-09-24,3.91194548221291,37393400.0,30.33424308191566,-0.3150452701811153
2008-09-23,3.85510966485809,45727300.0,28.0524485796397,-0.30723554100115447
2008-09-22,3.98306623761947,30596900.0,30.114444652988027,-0.2870116864844059
2008-09-19,4.28274600185394,51102700.0,35.84435716307141,-0.2700522841425954
2008-09-18,4.07546243267756,59866200.0,26.912564524282672,-0.2749907351972123
2008-09-17,3.88519921522241,42873400.0,17.072251325416616,-0.2561888931697318
2008-09-16,4.25144071208097,42851300.0,22.48285442194259,-0.20909226694038985
2008-09-15,4.26602958498488,32879800.0,22.74953843267356,-0.18322854707776948
2008-09-12,4.52680568814226,28322400.0,28.32653456594501,-0.1490373055549279
2008-09-11,4.6395655182954,34683400.0,31.419135820931146,-0.12978078152463546
2008-09-10,4.60795629367026,34755100.0,29.41314443768802,-0.11479573491938666
2008-09-09,4.61008383763541,44465200.0,29.467013852087234,-0.09078121641893677
2008-09-08,4.79973918538624,37356400.0,34.73250335745959,-0.0590261268614487
2008-09-05,4.86842846197548,28103000.0,36.95322506308597,-0.036946886115626576
2008-09-04,4.90003768660062,26549500.0,37.99118627012454,-0.015222154109272523
2008-09-03,5.0744962917432,26244100.0,44.37982328930977,0.00950952320404852
2008-09-02,5.05109330812651,27884400.0,43.18982696313078,0.02317475847738404
2008-08-29,5.15260754874955,21403200.0,47.26272022366776,0.0426623297075599
2008-08-28,5.28056412151092,15406600.0,53.126592036124975,0.0565790186003472
2008-08-27,5.30883006276225,17063600.0,54.51395341943923,0.0604905011081609
2008-08-26,5.27752477298927,15912500.0,53.25865066283167,0.06172512656551721
2008-08-25,5.24439587410331,17300900.0,51.955734600801264,0.06559058526702
2008-08-22,5.37326425142118,15700400.0,57.77264119944941,0.072943395565078
2008-08-21,5.29728053837998,19276600.0,55.01514857219084,0.06814611653765201
2008-08-20,5.34439044046553,18105400.0,57.164224521732294,0.06876835130265668
2008-08-19,5.27418148961546,22007300.0,54.71624664591843,0.0637656376259681
2008-08-18,5.33071337211811,19714800.0,57.15854255691682,0.06360140334516995
2008-08-15,5.34135109194388,25294700.0,57.60784004711378,0.05671069586875177
2008-08-14,5.45015976901887,25403600.0,62.25580677521578,0.04600765127668183
2008-08-13,5.44955189931454,30083800.0,62.24000246078611,0.02059877049478054
2008-08-12,5.37144064230819,29867100.0,60.25420405619394,-0.012069927267784664
2008-08-11,5.27509329417196,31832300.0,57.7066916083074,-0.04563835639291636
2008-08-08,5.15321541845388,25499900.0,54.26326610870386,-0.078010136209409
2008-08-07,4.97146237685934,24013300.0,48.45151411126304,-0.10578422221175376
2008-08-06,4.99030633769356,28264600.0,49.05158253061731,-0.12118961178749643
2008-08-05,4.88240946517506,24584700.0,45.46022413824396,-0.1410083906867463
2008-08-04,4.65719373972095,21161700.0,36.829493130477054,-0.15326746486991638
2008-08-01,4.76144339401348,19451400.0,39.51739738928409,-0.14375410074663542
2008-07-31,4.83104447515921,22767800.0,41.39011080414191,-0.14013513023730084
2008-07-30,4.85931041641053,25899400.0,42.14324742945994,-0.14056433424586245
2008-07-29,4.7742086578044,24431100.0,39.04228685780548,-0.14194556924607582
2008-07-28,4.69275411742423,27882600.0,35.993269374742084,-0.1329789582174179
2008-07-25,4.92739182329545,22629900.0,41.55267051796788,-0.11130650936442343
2008-07-24,4.83347595397653,29986400.0,37.993051048349976,-0.10591596456273411
2008-07-23,5.05322085209167,37920300.0,43.78707014575217,-0.08793273029155735
2008-07-22,4.9243524747738,67128300.0,38.696020981939974,-0.08607458846201155
2008-07-21,5.05413265664816,48588200.0,42.27655671900074,-0.06932978591321515
2008-07-18,5.01948408350137,31014800.0,40.921353154236485,-0.06016287774667539
2008-07-17,5.22190469504312,27054500.0,46.893802111497884,-0.044059618381029786
2008-07-16,5.2522981802596,26706800.0,47.867866392994124,-0.043475235153042746
2008-07-15,5.15595083212336,37144400.0,44.47276458332388,-0.0451915919982282
2008-07-14,5.28481920944123,31644800.0,48.38651921744314,-0.03691504340496454
2008-07-11,5.24530767865981,33214700.0,47.06011694504406,-0.03893535553240035
2008-07-10,5.36840129378654,30024600.0,50.83968290833083,-0.036924683796838664
2008-07-09,5.29606479897133,31992000.0,48.58646256505888,-0.046354417284763194
2008-07-08,5.45715027061866,31726800.0,53.67347670718617,-0.05035076975856789
2008-07-07,5.32372287051832,29299700.0,49.61611949425594,-0.0711206237418276
2008-07-03,5.17053970502727,18691500.0,44.427460720063266,-0.08301069301581698
2008-07-02,5.1115763437073,29911400.0,42.30373865214335,-0.08138248541348236
2008-07-01,5.30913399761441,39688600.0,48.012154105239844,-0.07211701295154516
2008-06-30,5.08908516464711,24435600.0,39.57955918778784,-0.07935688721864764
2008-06-27,5.16962790047078,37223200.0,41.88886040925387,-0.06503834538516973
2008-06-26,5.11400782252462,31057500.0,39.63020560636781,-0.05401738188688476
2008-06-25,5.39150034255107,23016100.0,48.333256684368855,-0.033501782258018586
2008-06-24,5.26567131375485,22212400.0,43.068975395329396,-0.035082902119750514
2008-06-23,5.26293590008537,23063600.0,42.951640106278184,-0.02377900632591423
2008-06-20,5.32706615389213,31727400.0,44.96931496191067,-0.008726733483420901
2008-06-19,5.49818147566091,28283900.0,50.892672432192306,0.00408274868043268
2008-06-18,5.43283548244548,28981000.0,48.48655018945386,0.0029502695359413522
2008-06-17,5.51429002282564,32130600.0,51.401697456670824,0.008115311543837933
2008-06-16,5.374783925682,37561800.0,46.263617623378195,0.006296189245481365
2008-06-13,5.23892504676435,48069900.0,40.582926742944565,0.018087003922998335
2008-06-12,5.26597524860701,46726200.0,41.39192228391584,0.04670619136230947
2008-06-11,5.49544606199142,34341100.0,49.10232541993644,0.07980111635923404
2008-06-10,5.64224659558701,40747900.0,55.211879554471935,0.09751723066367202
2008-06-09,5.51976085016461,67442600.0,50.43364247363125,0.10376403887285779
2008-06-06,5.64224659558701,34515100.0,55.97922333361198,0.12269921850107668
2008-06-05,5.75743790455747,26980200.0,61.9255090422437,0.13261140142352446
2008-06-04,5.6285695272396,25963700.0,57.20298294161245,0.1316054885104796
2008-06-03,5.63404035457856,26804300.0,57.484049763510185,0.14152846006822362
2008-06-02,5.65622759878659,24280000.0,58.567765127571974,0.15157815465369318
2008-05-30,5.73677033461026,21792300.0,62.54223883152964,0.15994138135573088
2008-05-29,5.67415975506432,23113800.0,60.61288533635411,0.16008876478820255
